Date,Price
2003:08:06,5692.76
2003:08:07,5741.49
2003:08:08,5771.85
2003:08:11,5783.91
2003:08:12,5833.54
2003:08:13,5782.74
2003:08:14,5812.85
2003:08:15,5818.27
2003:08:18,5855.22
2003:08:19,5851.62
2003:08:20,5830.70
2003:08:21,5836.10
2003:08:22,5766.61
2003:08:25,5771.53
2003:08:26,5788.94
2003:08:27,5783.75
2003:08:28,5811.21
2003:08:29,5837.75
2003:09:01,NA
2003:09:02,5917.60
2003:09:03,5945.11
2003:09:04,5950.39
2003:09:05,5912.67
2003:09:08,5971.00
2003:09:09,5929.11
2003:09:10,5885.12
2003:09:11,5907.12
2003:09:12,5913.22
2003:09:15,5892.03
2003:09:16,5961.84
2003:09:17,5947.21
2003:09:18,6021.43
2003:09:19,5996.94
2003:09:22,5923.07
2003:09:23,5945.30
2003:09:24,5849.54
2003:09:25,5824.08
2003:09:26,5791.94
2003:09:29,5834.02
2003:09:30,5787.60
2003:10:01,5913.45
2003:10:02,5931.60
2003:10:03,5956.89
2003:10:06,5980.69
2003:10:07,6007.39
2003:10:08,5977.78
2003:10:09,5996.70
2003:10:10,5988.05
2003:10:13,6022.84
2003:10:14,6045.91
2003:10:15,6024.74
2003:10:16,6040.96
2003:10:17,5993.68
2003:10:20,6019.66
2003:10:21,6022.54
2003:10:22,5933.29
2003:10:23,5972.36
2003:10:24,5960.44
2003:10:27,5956.96
2003:10:28,6033.78
2003:10:29,6038.70
2003:10:30,6026.85
2003:10:31,6051.87
2003:11:03,6079.37
2003:11:04,6051.91
2003:11:05,6039.71
2003:11:06,6063.40
2003:11:07,6034.09
2003:11:10,6015.94
2003:11:11,6017.15
2003:11:12,6079.25
2003:11:13,6087.54
2003:11:14,6062.45
2003:11:17,6035.66
2003:11:18,5992.74
2003:11:19,6043.18
2003:11:20,5990.26
2003:11:21,5984.74
2003:11:24,6061.40
2003:11:25,6077.77
2003:11:26,6098.48
2003:11:27,NA
2003:11:28,6090.45
2003:12:01,6154.48
2003:12:02,6142.88
2003:12:03,6139.51
2003:12:04,6165.44
2003:12:05,6132.86
2003:12:08,6182.61
2003:12:09,6153.02
2003:12:10,6152.68
2003:12:11,6217.02
2003:12:12,6234.87
2003:12:15,6217.91
2003:12:16,6269.10
2003:12:17,6277.51
2003:12:18,6334.40
2003:12:19,6340.00
2003:12:22,6364.13
2003:12:23,6374.37
2003:12:24,6364.03
2003:12:25,NA
2003:12:26,6373.74
2003:12:29,6448.67
2003:12:30,6446.98
2003:12:31,6468.15
2004:01:01,NA
2004:01:02,6456.61
2004:01:05,6525.83
2004:01:06,6525.41
2004:01:07,6532.62
2004:01:08,6552.49
2004:01:09,6482.15
2004:01:12,6508.49
2004:01:13,6473.30
2004:01:14,6525.35
2004:01:15,6541.57
2004:01:16,6571.60
2004:01:19,6571.60
2004:01:20,6564.55
2004:01:21,6639.74
2004:01:22,6636.23
2004:01:23,6613.63
2004:01:26,6703.10
2004:01:27,6645.66
2004:01:28,6560.68
2004:01:29,6614.66
2004:01:30,6590.17
2004:02:02,6621.89
2004:02:03,6616.26
2004:02:04,6602.26
2004:02:05,6616.06
2004:02:06,6679.76
2004:02:09,6661.05
2004:02:10,6695.09
2004:02:11,6779.25
2004:02:12,6744.55
2004:02:13,6716.38
2004:02:16,6716.38
2004:02:17,6773.28
2004:02:18,6737.42
2004:02:19,6724.30
2004:02:20,6713.27
2004:02:23,6718.40
2004:02:24,6703.02
2004:02:25,6723.86
2004:02:26,6730.49
2004:02:27,6725.47
2004:03:01,6778.72
2004:03:02,6746.87
2004:03:03,6769.70
2004:03:04,6782.28
2004:03:05,6802.56
2004:03:08,6767.75
2004:03:09,6728.57
2004:03:10,6630.00
2004:03:11,6524.07
2004:03:12,6587.61
2004:03:15,6498.72
2004:03:16,6541.37
2004:03:17,6601.71
2004:03:18,6601.65
2004:03:19,6524.74
2004:03:22,6433.08
2004:03:23,6431.66
2004:03:24,6403.36
2004:03:25,6486.14
2004:03:26,6485.43
2004:03:29,6570.89
2004:03:30,6601.94
2004:03:31,6596.80
2004:04:01,6632.75
2004:04:02,6665.89
2004:04:05,6717.87
2004:04:06,6713.41
